OCCUR_DATE,BORO,STATISTICAL_MURDER_FLAG,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Latitude,Longitude
12/31/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.65690638,-73.88509116
12/31/2021,MANHATTAN,FALSE,<18,F,BLACK,40.80122705,-73.93159858
12/31/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.64597209,-73.95969593
12/31/2021,STATEN ISLAND,TRUE,25-44,M,WHITE,40.61293531,-74.06527594
12/31/2021,BRONX,FALSE,25-44,M,WHITE HISPANIC,40.81264237,-73.91509552
12/30/2021,QUEENS,FALSE,25-44,M,BLACK,40.72096619,-73.84696752
12/30/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.82061401,-73.9435521
12/29/2021,BRONX,FALSE,18-24,M,BLACK,40.83671851,-73.87526167
12/29/2021,BRONX,FALSE,18-24,F,WHITE HISPANIC,40.86289784,-73.85015137
12/28/2021,BRONX,FALSE,18-24,M,BLACK,40.81973193,-73.8481928
12/27/2021,BROOKLYN,TRUE,45-64,M,BLACK,40.65563971,-73.91153991
12/27/2021,BROOKLYN,FALSE,18-24,M,BLACK,40.63930596,-73.94833915
12/27/2021,BRONX,FALSE,18-24,M,BLACK,40.81969099,-73.85918709
12/27/2021,MANHATTAN,FALSE,<18,M,BLACK,40.79824984,-73.96360559
12/27/2021,MANHATTAN,FALSE,18-24,M,BLACK,40.79824984,-73.96360559
12/27/2021,QUEENS,TRUE,25-44,M,WHITE HISPANIC,40.75099771,-73.87270083
12/27/2021,QUEENS,FALSE,18-24,M,WHITE HISPANIC,40.75099771,-73.87270083
12/27/2021,QUEENS,TRUE,18-24,M,WHITE HISPANIC,40.75099771,-73.87270083
12/27/2021,QUEENS,FALSE,25-44,M,WHITE HISPANIC,40.75099771,-73.87270083
12/26/2021,BRONX,TRUE,25-44,M,BLACK,40.83355862,-73.9134246
12/26/2021,QUEENS,TRUE,25-44,M,BLACK,40.70894037,-73.74558943
12/26/2021,QUEENS,TRUE,25-44,M,BLACK,40.6611083,-73.76691506
12/26/2021,QUEENS,FALSE,25-44,M,BLACK,40.6611083,-73.76691506
12/26/2021,BRONX,FALSE,18-24,M,BLACK,40.82522502,-73.91626822
12/26/2021,QUEENS,FALSE,18-24,M,BLACK,40.69459324,-73.79347285
12/26/2021,BRONX,TRUE,25-44,M,WHITE HISPANIC,40.83355862,-73.9134246
12/25/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.6418758,-73.93370411
12/24/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.80232653,-73.96612815
12/24/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.66274751,-73.95085132
12/24/2021,BRONX,FALSE,25-44,M,BLACK,40.86402732,-73.89340651
12/24/2021,BROOKLYN,FALSE,45-64,M,BLACK,40.66274751,-73.95085132
12/23/2021,QUEENS,FALSE,25-44,F,BLACK,40.76974372,-73.90987205
12/23/2021,BRONX,FALSE,25-44,M,BLACK,40.82311764,-73.8241144
12/23/2021,QUEENS,TRUE,25-44,F,BLACK,40.76974372,-73.90987205
12/23/2021,QUEENS,FALSE,25-44,M,BLACK,40.76974372,-73.90987205
12/23/2021,QUEENS,TRUE,25-44,M,BLACK,40.76974372,-73.90987205
12/23/2021,QUEENS,TRUE,25-44,F,WHITE HISPANIC,40.76974372,-73.90987205
12/23/2021,QUEENS,FALSE,25-44,F,WHITE HISPANIC,40.76974372,-73.90987205
12/22/2021,BRONX,TRUE,25-44,M,BLACK,40.86046306,-73.86556105
12/22/2021,MANHATTAN,FALSE,<18,M,BLACK,40.80583019,-73.9617809
12/22/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.66846456,-73.89062616
12/22/2021,MANHATTAN,FALSE,18-24,M,WHITE HISPANIC,40.79094802,-73.94723197
12/22/2021,BRONX,TRUE,45-64,M,WHITE HISPANIC,40.82546427,-73.91316775
